Planning Area,Subzone,Age Group,Type of Dwelling,2020
Ang Mo Kio,Total,15 - 19,Total,"7,600"
Ang Mo Kio,Total,15 - 19,Total HDB^,"5,540"
Ang Mo Kio,Total,15 - 19,1- and 2-Room Flats*,570
Ang Mo Kio,Total,15 - 19,3-Room Flats,"2,030"
Ang Mo Kio,Total,15 - 19,4-Room Flats,"1,830"
Ang Mo Kio,Total,15 - 19,5-Room and Executive Flats,"1,110"
Ang Mo Kio,Total,15 - 19,Condominiums and Other Apartments,"1,060"
Ang Mo Kio,Total,15 - 19,Landed Properties,980
Ang Mo Kio,Total,15 - 19,Others,20
Ang Mo Kio,Total,20 - 24,Total,"8,680"
Ang Mo Kio,Total,20 - 24,Total HDB^,"6,580"
Ang Mo Kio,Total,20 - 24,1- and 2-Room Flats*,740
Ang Mo Kio,Total,20 - 24,3-Room Flats,"2,450"
Ang Mo Kio,Total,20 - 24,4-Room Flats,"2,210"
Ang Mo Kio,Total,20 - 24,5-Room and Executive Flats,"1,180"
Ang Mo Kio,Total,20 - 24,Condominiums and Other Apartments,930
Ang Mo Kio,Total,20 - 24,Landed Properties,"1,130"
Ang Mo Kio,Total,20 - 24,Others,40
Ang Mo Kio,Total,25 - 29,Total,"10,320"
Ang Mo Kio,Total,25 - 29,Total HDB^,"8,210"
Ang Mo Kio,Total,25 - 29,1- and 2-Room Flats*,660
Ang Mo Kio,Total,25 - 29,3-Room Flats,"3,140"
Ang Mo Kio,Total,25 - 29,4-Room Flats,"2,890"
Ang Mo Kio,Total,25 - 29,5-Room and Executive Flats,"1,520"
Ang Mo Kio,Total,25 - 29,Condominiums and Other Apartments,830
Ang Mo Kio,Total,25 - 29,Landed Properties,"1,240"
Ang Mo Kio,Total,25 - 29,Others,40
Ang Mo Kio,Total,30 - 34,Total,"10,490"
Ang Mo Kio,Total,30 - 34,Total HDB^,"8,840"
Ang Mo Kio,Total,30 - 34,1- and 2-Room Flats*,510
Ang Mo Kio,Total,30 - 34,3-Room Flats,"3,500"
Ang Mo Kio,Total,30 - 34,4-Room Flats,"3,330"
Ang Mo Kio,Total,30 - 34,5-Room and Executive Flats,"1,500"
Ang Mo Kio,Total,30 - 34,Condominiums and Other Apartments,680
Ang Mo Kio,Total,30 - 34,Landed Properties,910
Ang Mo Kio,Total,30 - 34,Others,60
Ang Mo Kio,Total,35 - 39,Total,"10,420"
Ang Mo Kio,Total,35 - 39,Total HDB^,"8,720"
Ang Mo Kio,Total,35 - 39,1- and 2-Room Flats*,410
Ang Mo Kio,Total,35 - 39,3-Room Flats,"3,720"
Ang Mo Kio,Total,35 - 39,4-Room Flats,"3,140"
Ang Mo Kio,Total,35 - 39,5-Room and Executive Flats,"1,450"
Ang Mo Kio,Total,35 - 39,Condominiums and Other Apartments,920
Ang Mo Kio,Total,35 - 39,Landed Properties,730
Ang Mo Kio,Total,35 - 39,Others,50
Ang Mo Kio,Total,40 - 44,Total,"11,350"
Ang Mo Kio,Total,40 - 44,Total HDB^,"9,200"
Ang Mo Kio,Total,40 - 44,1- and 2-Room Flats*,390
Ang Mo Kio,Total,40 - 44,3-Room Flats,"4,110"
Ang Mo Kio,Total,40 - 44,4-Room Flats,"3,100"
Ang Mo Kio,Total,40 - 44,5-Room and Executive Flats,"1,610"
Ang Mo Kio,Total,40 - 44,Condominiums and Other Apartments,"1,270"
Ang Mo Kio,Total,40 - 44,Landed Properties,830
Ang Mo Kio,Total,40 - 44,Others,50
Ang Mo Kio,Total,45 - 49,Total,"12,410"
Ang Mo Kio,Total,45 - 49,Total HDB^,"9,730"
Ang Mo Kio,Total,45 - 49,1- and 2-Room Flats*,540
Ang Mo Kio,Total,45 - 49,3-Room Flats,"4,340"
Ang Mo Kio,Total,45 - 49,4-Room Flats,"3,150"
Ang Mo Kio,Total,45 - 49,5-Room and Executive Flats,"1,700"
Ang Mo Kio,Total,45 - 49,Condominiums and Other Apartments,"1,480"
Ang Mo Kio,Total,45 - 49,Landed Properties,"1,150"
Ang Mo Kio,Total,45 - 49,Others,60
Ang Mo Kio,Total,50 - 54,Total,"11,860"
Ang Mo Kio,Total,50 - 54,Total HDB^,"9,450"
Ang Mo Kio,Total,50 - 54,1- and 2-Room Flats*,800
Ang Mo Kio,Total,50 - 54,3-Room Flats,"4,350"
Ang Mo Kio,Total,50 - 54,4-Room Flats,"2,920"
Ang Mo Kio,Total,50 - 54,5-Room and Executive Flats,"1,390"
Ang Mo Kio,Total,50 - 54,Condominiums and Other Apartments,"1,220"
Ang Mo Kio,Total,50 - 54,Landed Properties,"1,130"
Ang Mo Kio,Total,50 - 54,Others,70
Ang Mo Kio,Total,55 - 59,Total,"12,780"
Ang Mo Kio,Total,55 - 59,Total HDB^,"10,420"
Ang Mo Kio,Total,55 - 59,1- and 2-Room Flats*,940
Ang Mo Kio,Total,55 - 59,3-Room Flats,"4,950"
Ang Mo Kio,Total,55 - 59,4-Room Flats,"3,100"
Ang Mo Kio,Total,55 - 59,5-Room and Executive Flats,"1,440"
Ang Mo Kio,Total,55 - 59,Condominiums and Other Apartments,"1,040"
Ang Mo Kio,Total,55 - 59,Landed Properties,"1,250"
Ang Mo Kio,Total,55 - 59,Others,80
Ang Mo Kio,Total,60 - 64,Total,"12,730"
Ang Mo Kio,Total,60 - 64,Total HDB^,"10,550"
Ang Mo Kio,Total,60 - 64,1- and 2-Room Flats*,"1,030"
Ang Mo Kio,Total,60 - 64,3-Room Flats,"4,890"
Ang Mo Kio,Total,60 - 64,4-Room Flats,"3,150"
Ang Mo Kio,Total,60 - 64,5-Room and Executive Flats,"1,480"
Ang Mo Kio,Total,60 - 64,Condominiums and Other Apartments,830
Ang Mo Kio,Total,60 - 64,Landed Properties,"1,260"
Ang Mo Kio,Total,60 - 64,Others,100
Ang Mo Kio,Total,65 - 69,Total,"11,960"
Ang Mo Kio,Total,65 - 69,Total HDB^,"10,240"
Ang Mo Kio,Total,65 - 69,1- and 2-Room Flats*,940
Ang Mo Kio,Total,65 - 69,3-Room Flats,"4,710"
Ang Mo Kio,Total,65 - 69,4-Room Flats,"3,190"
Ang Mo Kio,Total,65 - 69,5-Room and Executive Flats,"1,400"
Ang Mo Kio,Total,65 - 69,Condominiums and Other Apartments,520
Ang Mo Kio,Total,65 - 69,Landed Properties,"1,080"
Ang Mo Kio,Total,65 - 69,Others,130
Ang Mo Kio,Total,70 - 74,Total,"9,930"
Ang Mo Kio,Total,70 - 74,Total HDB^,"8,470"
Ang Mo Kio,Total,70 - 74,1- and 2-Room Flats*,820
Ang Mo Kio,Total,70 - 74,3-Room Flats,"3,900"
Ang Mo Kio,Total,70 - 74,4-Room Flats,"2,620"
Ang Mo Kio,Total,70 - 74,5-Room and Executive Flats,"1,130"
Ang Mo Kio,Total,70 - 74,Condominiums and Other Apartments,390
Ang Mo Kio,Total,70 - 74,Landed Properties,930
Ang Mo Kio,Total,70 - 74,Others,140
Ang Mo Kio,Total,75 - 79,Total,"5,770"
Ang Mo Kio,Total,75 - 79,Total HDB^,"4,950"
Ang Mo Kio,Total,75 - 79,1- and 2-Room Flats*,470
Ang Mo Kio,Total,75 - 79,3-Room Flats,"2,350"
Ang Mo Kio,Total,75 - 79,4-Room Flats,"1,520"
Ang Mo Kio,Total,75 - 79,5-Room and Executive Flats,610
Ang Mo Kio,Total,75 - 79,Condominiums and Other Apartments,150
Ang Mo Kio,Total,75 - 79,Landed Properties,540
Ang Mo Kio,Total,75 - 79,Others,130
Ang Mo Kio,Total,80 - 84,Total,"4,150"
Ang Mo Kio,Total,80 - 84,Total HDB^,"3,440"
Ang Mo Kio,Total,80 - 84,1- and 2-Room Flats*,340
Ang Mo Kio,Total,80 - 84,3-Room Flats,"1,580"
Ang Mo Kio,Total,80 - 84,4-Room Flats,"1,140"
Ang Mo Kio,Total,80 - 84,5-Room and Executive Flats,380
Ang Mo Kio,Total,80 - 84,Condominiums and Other Apartments,130
Ang Mo Kio,Total,80 - 84,Landed Properties,430
Ang Mo Kio,Total,80 - 84,Others,150
Ang Mo Kio,Total,85 - 89,Total,"2,280"
Ang Mo Kio,Total,85 - 89,Total HDB^,"1,850"
Ang Mo Kio,Total,85 - 89,1- and 2-Room Flats*,200
Ang Mo Kio,Total,85 - 89,3-Room Flats,770
Ang Mo Kio,Total,85 - 89,4-Room Flats,670
Ang Mo Kio,Total,85 - 89,5-Room and Executive Flats,210
Ang Mo Kio,Total,85 - 89,Condominiums and Other Apartments,60
Ang Mo Kio,Total,85 - 89,Landed Properties,230
Ang Mo Kio,Total,85 - 89,Others,130
Ang Mo Kio,Total,90 & Over,Total,"1,130"
Ang Mo Kio,Total,90 & Over,Total HDB^,890
Ang Mo Kio,Total,90 & Over,1- and 2-Room Flats*,110
Ang Mo Kio,Total,90 & Over,3-Room Flats,340
Ang Mo Kio,Total,90 & Over,4-Room Flats,340
Ang Mo Kio,Total,90 & Over,5-Room and Executive Flats,120
Ang Mo Kio,Total,90 & Over,Condominiums and Other Apartments,30
Ang Mo Kio,Total,90 & Over,Landed Properties,110
Ang Mo Kio,Total,90 & Over,Others,100
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,"4,810"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total HDB^,"2,830"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,3-Room Flats,400
Ang Mo Kio,Ang Mo Kio Town Centre,Total,4-Room Flats,630
Ang Mo Kio,Ang Mo Kio Town Centre,Total,5-Room and Executive Flats,"1,800"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Condominiums and Other Apartments,"1,950"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Others,30
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,170
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total HDB^,80
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,5-Room and Executive Flats,50
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Condominiums and Other Apartments,90
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,240
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total HDB^,130
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,4-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Condominiums and Other Apartments,110
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,280
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total HDB^,140
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,4-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Condominiums and Other Apartments,140
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Others,-
