Planning Area,Subzone,Age Group,Type of Dwelling,2020
Paya Lebar,Plab,85 - 89,Total HDB^,-
Paya Lebar,Plab,85 - 89,1- and 2-Room Flats*,-
Paya Lebar,Plab,85 - 89,3-Room Flats,-
Paya Lebar,Plab,85 - 89,4-Room Flats,-
Paya Lebar,Plab,85 - 89,5-Room and Executive Flats,-
Paya Lebar,Plab,85 - 89,Condominiums and Other Apartments,-
Paya Lebar,Plab,85 - 89,Landed Properties,-
Paya Lebar,Plab,85 - 89,Others,-
Paya Lebar,Plab,90 & Over,Total,-
Paya Lebar,Plab,90 & Over,Total HDB^,-
Paya Lebar,Plab,90 & Over,1- and 2-Room Flats*,-
Paya Lebar,Plab,90 & Over,3-Room Flats,-
Paya Lebar,Plab,90 & Over,4-Room Flats,-
Paya Lebar,Plab,90 & Over,5-Room and Executive Flats,-
Paya Lebar,Plab,90 & Over,Condominiums and Other Apartments,-
Paya Lebar,Plab,90 & Over,Landed Properties,-
Paya Lebar,Plab,90 & Over,Others,-
Pioneer,Total,Total,Total,80
Pioneer,Total,Total,Total HDB^,-
Pioneer,Total,Total,1- and 2-Room Flats*,-
Pioneer,Total,Total,3-Room Flats,-
Pioneer,Total,Total,4-Room Flats,-
Pioneer,Total,Total,5-Room and Executive Flats,-
Pioneer,Total,Total,Condominiums and Other Apartments,-
Pioneer,Total,Total,Landed Properties,-
Pioneer,Total,Total,Others,-
Pioneer,Total,0 - 4,Total,-
Pioneer,Total,0 - 4,Total HDB^,-
Pioneer,Total,0 - 4,1- and 2-Room Flats*,-
Pioneer,Total,0 - 4,3-Room Flats,-
Pioneer,Total,0 - 4,4-Room Flats,-
Pioneer,Total,0 - 4,5-Room and Executive Flats,-
Pioneer,Total,0 - 4,Condominiums and Other Apartments,-
Pioneer,Total,0 - 4,Landed Properties,-
Pioneer,Total,0 - 4,Others,-
Pioneer,Total,5 - 9,Total,-
Pioneer,Total,5 - 9,Total HDB^,-
Pioneer,Total,5 - 9,1- and 2-Room Flats*,-
Pioneer,Total,5 - 9,3-Room Flats,-
Pioneer,Total,5 - 9,4-Room Flats,-
Pioneer,Total,5 - 9,5-Room and Executive Flats,-
Pioneer,Total,5 - 9,Condominiums and Other Apartments,-
Pioneer,Total,5 - 9,Landed Properties,-
Pioneer,Total,5 - 9,Others,-
Pioneer,Total,10 - 14,Total,-
Pioneer,Total,10 - 14,Total HDB^,-
Pioneer,Total,10 - 14,1- and 2-Room Flats*,-
Pioneer,Total,10 - 14,3-Room Flats,-
Pioneer,Total,10 - 14,4-Room Flats,-
Pioneer,Total,10 - 14,5-Room and Executive Flats,-
Pioneer,Total,10 - 14,Condominiums and Other Apartments,-
Pioneer,Total,10 - 14,Landed Properties,-
Pioneer,Total,10 - 14,Others,-
Pioneer,Total,15 - 19,Total,-
Pioneer,Total,15 - 19,Total HDB^,-
Pioneer,Total,15 - 19,1- and 2-Room Flats*,-
Pioneer,Total,15 - 19,3-Room Flats,-
Pioneer,Total,15 - 19,4-Room Flats,-
Pioneer,Total,15 - 19,5-Room and Executive Flats,-
Pioneer,Total,15 - 19,Condominiums and Other Apartments,-
Pioneer,Total,15 - 19,Landed Properties,-
Pioneer,Total,15 - 19,Others,-
Pioneer,Total,20 - 24,Total,-
Pioneer,Total,20 - 24,Total HDB^,-
Pioneer,Total,20 - 24,1- and 2-Room Flats*,-
Pioneer,Total,20 - 24,3-Room Flats,-
Pioneer,Total,20 - 24,4-Room Flats,-
Pioneer,Total,20 - 24,5-Room and Executive Flats,-
Pioneer,Total,20 - 24,Condominiums and Other Apartments,-
Pioneer,Total,20 - 24,Landed Properties,-
Pioneer,Total,20 - 24,Others,-
Pioneer,Total,25 - 29,Total,-
Pioneer,Total,25 - 29,Total HDB^,-
Pioneer,Total,25 - 29,1- and 2-Room Flats*,-
Pioneer,Total,25 - 29,3-Room Flats,-
Pioneer,Total,25 - 29,4-Room Flats,-
Pioneer,Total,25 - 29,5-Room and Executive Flats,-
Pioneer,Total,25 - 29,Condominiums and Other Apartments,-
Pioneer,Total,25 - 29,Landed Properties,-
Pioneer,Total,25 - 29,Others,-
Pioneer,Total,30 - 34,Total,-
Pioneer,Total,30 - 34,Total HDB^,-
Pioneer,Total,30 - 34,1- and 2-Room Flats*,-
Pioneer,Total,30 - 34,3-Room Flats,-
Pioneer,Total,30 - 34,4-Room Flats,-
Pioneer,Total,30 - 34,5-Room and Executive Flats,-
Pioneer,Total,30 - 34,Condominiums and Other Apartments,-
Pioneer,Total,30 - 34,Landed Properties,-
Pioneer,Total,30 - 34,Others,-
Pioneer,Total,35 - 39,Total,-
Pioneer,Total,35 - 39,Total HDB^,-
Pioneer,Total,35 - 39,1- and 2-Room Flats*,-
Pioneer,Total,35 - 39,3-Room Flats,-
Pioneer,Total,35 - 39,4-Room Flats,-
Pioneer,Total,35 - 39,5-Room and Executive Flats,-
Pioneer,Total,35 - 39,Condominiums and Other Apartments,-
Pioneer,Total,35 - 39,Landed Properties,-
Pioneer,Total,35 - 39,Others,-
Pioneer,Total,40 - 44,Total,-
Pioneer,Total,40 - 44,Total HDB^,-
Pioneer,Total,40 - 44,1- and 2-Room Flats*,-
Pioneer,Total,40 - 44,3-Room Flats,-
Pioneer,Total,40 - 44,4-Room Flats,-
Pioneer,Total,40 - 44,5-Room and Executive Flats,-
Pioneer,Total,40 - 44,Condominiums and Other Apartments,-
Pioneer,Total,40 - 44,Landed Properties,-
Pioneer,Total,40 - 44,Others,-
Pioneer,Total,45 - 49,Total,-
Pioneer,Total,45 - 49,Total HDB^,-
Pioneer,Total,45 - 49,1- and 2-Room Flats*,-
Pioneer,Total,45 - 49,3-Room Flats,-
Pioneer,Total,45 - 49,4-Room Flats,-
Pioneer,Total,45 - 49,5-Room and Executive Flats,-
Pioneer,Total,45 - 49,Condominiums and Other Apartments,-
Pioneer,Total,45 - 49,Landed Properties,-
Pioneer,Total,45 - 49,Others,-
Pioneer,Total,50 - 54,Total,-
Pioneer,Total,50 - 54,Total HDB^,-
Pioneer,Total,50 - 54,1- and 2-Room Flats*,-
Pioneer,Total,50 - 54,3-Room Flats,-
Pioneer,Total,50 - 54,4-Room Flats,-
Pioneer,Total,50 - 54,5-Room and Executive Flats,-
Pioneer,Total,50 - 54,Condominiums and Other Apartments,-
Pioneer,Total,50 - 54,Landed Properties,-
Pioneer,Total,50 - 54,Others,-
Pioneer,Total,55 - 59,Total,-
Pioneer,Total,55 - 59,Total HDB^,-
Pioneer,Total,55 - 59,1- and 2-Room Flats*,-
Pioneer,Total,55 - 59,3-Room Flats,-
Pioneer,Total,55 - 59,4-Room Flats,-
Pioneer,Total,55 - 59,5-Room and Executive Flats,-
Pioneer,Total,55 - 59,Condominiums and Other Apartments,-
Pioneer,Total,55 - 59,Landed Properties,-
Pioneer,Total,55 - 59,Others,-
Pioneer,Total,60 - 64,Total,-
Pioneer,Total,60 - 64,Total HDB^,-
Pioneer,Total,60 - 64,1- and 2-Room Flats*,-
Pioneer,Total,60 - 64,3-Room Flats,-
Pioneer,Total,60 - 64,4-Room Flats,-
Pioneer,Total,60 - 64,5-Room and Executive Flats,-
Pioneer,Total,60 - 64,Condominiums and Other Apartments,-
Pioneer,Total,60 - 64,Landed Properties,-
Pioneer,Total,60 - 64,Others,-
Pioneer,Total,65 - 69,Total,-
Pioneer,Total,65 - 69,Total HDB^,-
Pioneer,Total,65 - 69,1- and 2-Room Flats*,-
Pioneer,Total,65 - 69,3-Room Flats,-
Pioneer,Total,65 - 69,4-Room Flats,-
Pioneer,Total,65 - 69,5-Room and Executive Flats,-
Pioneer,Total,65 - 69,Condominiums and Other Apartments,-
Pioneer,Total,65 - 69,Landed Properties,-
Pioneer,Total,65 - 69,Others,-
Pioneer,Total,70 - 74,Total,-
Pioneer,Total,70 - 74,Total HDB^,-
Pioneer,Total,70 - 74,1- and 2-Room Flats*,-
Pioneer,Total,70 - 74,3-Room Flats,-
Pioneer,Total,70 - 74,4-Room Flats,-
Pioneer,Total,70 - 74,5-Room and Executive Flats,-
Pioneer,Total,70 - 74,Condominiums and Other Apartments,-
Pioneer,Total,70 - 74,Landed Properties,-
Pioneer,Total,70 - 74,Others,-
Pioneer,Total,75 - 79,Total,-
Pioneer,Total,75 - 79,Total HDB^,-
Pioneer,Total,75 - 79,1- and 2-Room Flats*,-
Pioneer,Total,75 - 79,3-Room Flats,-
Pioneer,Total,75 - 79,4-Room Flats,-
Pioneer,Total,75 - 79,5-Room and Executive Flats,-
Pioneer,Total,75 - 79,Condominiums and Other Apartments,-
Pioneer,Total,75 - 79,Landed Properties,-
Pioneer,Total,75 - 79,Others,-
Pioneer,Total,80 - 84,Total,-
Pioneer,Total,80 - 84,Total HDB^,-
Pioneer,Total,80 - 84,1- and 2-Room Flats*,-
Pioneer,Total,80 - 84,3-Room Flats,-
Pioneer,Total,80 - 84,4-Room Flats,-
Pioneer,Total,80 - 84,5-Room and Executive Flats,-
Pioneer,Total,80 - 84,Condominiums and Other Apartments,-
Pioneer,Total,80 - 84,Landed Properties,-
Pioneer,Total,80 - 84,Others,-
Pioneer,Total,85 - 89,Total,-
Pioneer,Total,85 - 89,Total HDB^,-
Pioneer,Total,85 - 89,1- and 2-Room Flats*,-
Pioneer,Total,85 - 89,3-Room Flats,-
Pioneer,Total,85 - 89,4-Room Flats,-
Pioneer,Total,85 - 89,5-Room and Executive Flats,-
Pioneer,Total,85 - 89,Condominiums and Other Apartments,-
Pioneer,Total,85 - 89,Landed Properties,-
Pioneer,Total,85 - 89,Others,-
Pioneer,Total,90 & Over,Total,-
Pioneer,Total,90 & Over,Total HDB^,-
Pioneer,Total,90 & Over,1- and 2-Room Flats*,-
Pioneer,Total,90 & Over,3-Room Flats,-
Pioneer,Total,90 & Over,4-Room Flats,-
Pioneer,Total,90 & Over,5-Room and Executive Flats,-
Pioneer,Total,90 & Over,Condominiums and Other Apartments,-
Pioneer,Total,90 & Over,Landed Properties,-
Pioneer,Total,90 & Over,Others,-
Pioneer,Benoi Sector,Total,Total,10
Pioneer,Benoi Sector,Total,Total HDB^,-
Pioneer,Benoi Sector,Total,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,Total,3-Room Flats,-
Pioneer,Benoi Sector,Total,4-Room Flats,-
Pioneer,Benoi Sector,Total,5-Room and Executive Flats,-
Pioneer,Benoi Sector,Total,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,Total,Landed Properties,-
Pioneer,Benoi Sector,Total,Others,-
Pioneer,Benoi Sector,0 - 4,Total,-
Pioneer,Benoi Sector,0 - 4,Total HDB^,-
Pioneer,Benoi Sector,0 - 4,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,0 - 4,3-Room Flats,-
Pioneer,Benoi Sector,0 - 4,4-Room Flats,-
Pioneer,Benoi Sector,0 - 4,5-Room and Executive Flats,-
Pioneer,Benoi Sector,0 - 4,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,0 - 4,Landed Properties,-
Pioneer,Benoi Sector,0 - 4,Others,-
Pioneer,Benoi Sector,5 - 9,Total,-
Pioneer,Benoi Sector,5 - 9,Total HDB^,-
Pioneer,Benoi Sector,5 - 9,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,5 - 9,3-Room Flats,-
Pioneer,Benoi Sector,5 - 9,4-Room Flats,-
Pioneer,Benoi Sector,5 - 9,5-Room and Executive Flats,-
Pioneer,Benoi Sector,5 - 9,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,5 - 9,Landed Properties,-
Pioneer,Benoi Sector,5 - 9,Others,-
Pioneer,Benoi Sector,10 - 14,Total,-
Pioneer,Benoi Sector,10 - 14,Total HDB^,-
Pioneer,Benoi Sector,10 - 14,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,10 - 14,3-Room Flats,-
Pioneer,Benoi Sector,10 - 14,4-Room Flats,-
Pioneer,Benoi Sector,10 - 14,5-Room and Executive Flats,-
Pioneer,Benoi Sector,10 - 14,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,10 - 14,Landed Properties,-
Pioneer,Benoi Sector,10 - 14,Others,-
Pioneer,Benoi Sector,15 - 19,Total,-
Pioneer,Benoi Sector,15 - 19,Total HDB^,-
Pioneer,Benoi Sector,15 - 19,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,15 - 19,3-Room Flats,-
Pioneer,Benoi Sector,15 - 19,4-Room Flats,-
Pioneer,Benoi Sector,15 - 19,5-Room and Executive Flats,-
Pioneer,Benoi Sector,15 - 19,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,15 - 19,Landed Properties,-
Pioneer,Benoi Sector,15 - 19,Others,-
Pioneer,Benoi Sector,20 - 24,Total,-
Pioneer,Benoi Sector,20 - 24,Total HDB^,-
Pioneer,Benoi Sector,20 - 24,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,20 - 24,3-Room Flats,-
Pioneer,Benoi Sector,20 - 24,4-Room Flats,-
Pioneer,Benoi Sector,20 - 24,5-Room and Executive Flats,-
Pioneer,Benoi Sector,20 - 24,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,20 - 24,Landed Properties,-
Pioneer,Benoi Sector,20 - 24,Others,-
Pioneer,Benoi Sector,25 - 29,Total,-
Pioneer,Benoi Sector,25 - 29,Total HDB^,-
Pioneer,Benoi Sector,25 - 29,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,25 - 29,3-Room Flats,-
Pioneer,Benoi Sector,25 - 29,4-Room Flats,-
Pioneer,Benoi Sector,25 - 29,5-Room and Executive Flats,-
Pioneer,Benoi Sector,25 - 29,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,25 - 29,Landed Properties,-
Pioneer,Benoi Sector,25 - 29,Others,-
Pioneer,Benoi Sector,30 - 34,Total,-
Pioneer,Benoi Sector,30 - 34,Total HDB^,-
Pioneer,Benoi Sector,30 - 34,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,30 - 34,3-Room Flats,-
Pioneer,Benoi Sector,30 - 34,4-Room Flats,-
Pioneer,Benoi Sector,30 - 34,5-Room and Executive Flats,-
Pioneer,Benoi Sector,30 - 34,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,30 - 34,Landed Properties,-
Pioneer,Benoi Sector,30 - 34,Others,-
Pioneer,Benoi Sector,35 - 39,Total,-
Pioneer,Benoi Sector,35 - 39,Total HDB^,-
Pioneer,Benoi Sector,35 - 39,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,35 - 39,3-Room Flats,-
Pioneer,Benoi Sector,35 - 39,4-Room Flats,-
Pioneer,Benoi Sector,35 - 39,5-Room and Executive Flats,-
Pioneer,Benoi Sector,35 - 39,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,35 - 39,Landed Properties,-
Pioneer,Benoi Sector,35 - 39,Others,-
Pioneer,Benoi Sector,40 - 44,Total,-
Pioneer,Benoi Sector,40 - 44,Total HDB^,-
Pioneer,Benoi Sector,40 - 44,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,40 - 44,3-Room Flats,-
Pioneer,Benoi Sector,40 - 44,4-Room Flats,-
Pioneer,Benoi Sector,40 - 44,5-Room and Executive Flats,-
Pioneer,Benoi Sector,40 - 44,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,40 - 44,Landed Properties,-
Pioneer,Benoi Sector,40 - 44,Others,-
Pioneer,Benoi Sector,45 - 49,Total,-
Pioneer,Benoi Sector,45 - 49,Total HDB^,-
Pioneer,Benoi Sector,45 - 49,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,45 - 49,3-Room Flats,-
Pioneer,Benoi Sector,45 - 49,4-Room Flats,-
Pioneer,Benoi Sector,45 - 49,5-Room and Executive Flats,-
Pioneer,Benoi Sector,45 - 49,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,45 - 49,Landed Properties,-
Pioneer,Benoi Sector,45 - 49,Others,-
Pioneer,Benoi Sector,50 - 54,Total,-
Pioneer,Benoi Sector,50 - 54,Total HDB^,-
Pioneer,Benoi Sector,50 - 54,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,50 - 54,3-Room Flats,-
Pioneer,Benoi Sector,50 - 54,4-Room Flats,-
Pioneer,Benoi Sector,50 - 54,5-Room and Executive Flats,-
Pioneer,Benoi Sector,50 - 54,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,50 - 54,Landed Properties,-
Pioneer,Benoi Sector,50 - 54,Others,-
Pioneer,Benoi Sector,55 - 59,Total,-
Pioneer,Benoi Sector,55 - 59,Total HDB^,-
Pioneer,Benoi Sector,55 - 59,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,55 - 59,3-Room Flats,-
Pioneer,Benoi Sector,55 - 59,4-Room Flats,-
Pioneer,Benoi Sector,55 - 59,5-Room and Executive Flats,-
Pioneer,Benoi Sector,55 - 59,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,55 - 59,Landed Properties,-
Pioneer,Benoi Sector,55 - 59,Others,-
Pioneer,Benoi Sector,60 - 64,Total,-
Pioneer,Benoi Sector,60 - 64,Total HDB^,-
Pioneer,Benoi Sector,60 - 64,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,60 - 64,3-Room Flats,-
Pioneer,Benoi Sector,60 - 64,4-Room Flats,-
Pioneer,Benoi Sector,60 - 64,5-Room and Executive Flats,-
Pioneer,Benoi Sector,60 - 64,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,60 - 64,Landed Properties,-
Pioneer,Benoi Sector,60 - 64,Others,-
Pioneer,Benoi Sector,65 - 69,Total,-
Pioneer,Benoi Sector,65 - 69,Total HDB^,-
Pioneer,Benoi Sector,65 - 69,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,65 - 69,3-Room Flats,-
Pioneer,Benoi Sector,65 - 69,4-Room Flats,-
Pioneer,Benoi Sector,65 - 69,5-Room and Executive Flats,-
Pioneer,Benoi Sector,65 - 69,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,65 - 69,Landed Properties,-
Pioneer,Benoi Sector,65 - 69,Others,-
Pioneer,Benoi Sector,70 - 74,Total,-
Pioneer,Benoi Sector,70 - 74,Total HDB^,-
Pioneer,Benoi Sector,70 - 74,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,70 - 74,3-Room Flats,-
Pioneer,Benoi Sector,70 - 74,4-Room Flats,-
Pioneer,Benoi Sector,70 - 74,5-Room and Executive Flats,-
Pioneer,Benoi Sector,70 - 74,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,70 - 74,Landed Properties,-
Pioneer,Benoi Sector,70 - 74,Others,-
Pioneer,Benoi Sector,75 - 79,Total,-
Pioneer,Benoi Sector,75 - 79,Total HDB^,-
Pioneer,Benoi Sector,75 - 79,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,75 - 79,3-Room Flats,-
Pioneer,Benoi Sector,75 - 79,4-Room Flats,-
Pioneer,Benoi Sector,75 - 79,5-Room and Executive Flats,-
Pioneer,Benoi Sector,75 - 79,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,75 - 79,Landed Properties,-
Pioneer,Benoi Sector,75 - 79,Others,-
Pioneer,Benoi Sector,80 - 84,Total,-
Pioneer,Benoi Sector,80 - 84,Total HDB^,-
Pioneer,Benoi Sector,80 - 84,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,80 - 84,3-Room Flats,-
Pioneer,Benoi Sector,80 - 84,4-Room Flats,-
Pioneer,Benoi Sector,80 - 84,5-Room and Executive Flats,-
Pioneer,Benoi Sector,80 - 84,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,80 - 84,Landed Properties,-
Pioneer,Benoi Sector,80 - 84,Others,-
Pioneer,Benoi Sector,85 - 89,Total,-
Pioneer,Benoi Sector,85 - 89,Total HDB^,-
Pioneer,Benoi Sector,85 - 89,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,85 - 89,3-Room Flats,-
Pioneer,Benoi Sector,85 - 89,4-Room Flats,-
Pioneer,Benoi Sector,85 - 89,5-Room and Executive Flats,-
Pioneer,Benoi Sector,85 - 89,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,85 - 89,Landed Properties,-
Pioneer,Benoi Sector,85 - 89,Others,-
Pioneer,Benoi Sector,90 & Over,Total,-
Pioneer,Benoi Sector,90 & Over,Total HDB^,-
Pioneer,Benoi Sector,90 & Over,1- and 2-Room Flats*,-
Pioneer,Benoi Sector,90 & Over,3-Room Flats,-
Pioneer,Benoi Sector,90 & Over,4-Room Flats,-
Pioneer,Benoi Sector,90 & Over,5-Room and Executive Flats,-
Pioneer,Benoi Sector,90 & Over,Condominiums and Other Apartments,-
Pioneer,Benoi Sector,90 & Over,Landed Properties,-
Pioneer,Benoi Sector,90 & Over,Others,-
Pioneer,Gul Basin,Total,Total,10
Pioneer,Gul Basin,Total,Total HDB^,-
Pioneer,Gul Basin,Total,1- and 2-Room Flats*,-
Pioneer,Gul Basin,Total,3-Room Flats,-
Pioneer,Gul Basin,Total,4-Room Flats,-
Pioneer,Gul Basin,Total,5-Room and Executive Flats,-
Pioneer,Gul Basin,Total,Condominiums and Other Apartments,-
Pioneer,Gul Basin,Total,Landed Properties,-
Pioneer,Gul Basin,Total,Others,-
Pioneer,Gul Basin,0 - 4,Total,-
Pioneer,Gul Basin,0 - 4,Total HDB^,-
Pioneer,Gul Basin,0 - 4,1- and 2-Room Flats*,-
Pioneer,Gul Basin,0 - 4,3-Room Flats,-
Pioneer,Gul Basin,0 - 4,4-Room Flats,-
Pioneer,Gul Basin,0 - 4,5-Room and Executive Flats,-
Pioneer,Gul Basin,0 - 4,Condominiums and Other Apartments,-
Pioneer,Gul Basin,0 - 4,Landed Properties,-
Pioneer,Gul Basin,0 - 4,Others,-
Pioneer,Gul Basin,5 - 9,Total,-
Pioneer,Gul Basin,5 - 9,Total HDB^,-
Pioneer,Gul Basin,5 - 9,1- and 2-Room Flats*,-
Pioneer,Gul Basin,5 - 9,3-Room Flats,-
Pioneer,Gul Basin,5 - 9,4-Room Flats,-
Pioneer,Gul Basin,5 - 9,5-Room and Executive Flats,-
Pioneer,Gul Basin,5 - 9,Condominiums and Other Apartments,-
Pioneer,Gul Basin,5 - 9,Landed Properties,-
Pioneer,Gul Basin,5 - 9,Others,-
Pioneer,Gul Basin,10 - 14,Total,-
Pioneer,Gul Basin,10 - 14,Total HDB^,-
Pioneer,Gul Basin,10 - 14,1- and 2-Room Flats*,-
Pioneer,Gul Basin,10 - 14,3-Room Flats,-
Pioneer,Gul Basin,10 - 14,4-Room Flats,-
Pioneer,Gul Basin,10 - 14,5-Room and Executive Flats,-
Pioneer,Gul Basin,10 - 14,Condominiums and Other Apartments,-
Pioneer,Gul Basin,10 - 14,Landed Properties,-
Pioneer,Gul Basin,10 - 14,Others,-
Pioneer,Gul Basin,15 - 19,Total,-
Pioneer,Gul Basin,15 - 19,Total HDB^,-
Pioneer,Gul Basin,15 - 19,1- and 2-Room Flats*,-
Pioneer,Gul Basin,15 - 19,3-Room Flats,-
Pioneer,Gul Basin,15 - 19,4-Room Flats,-
Pioneer,Gul Basin,15 - 19,5-Room and Executive Flats,-
Pioneer,Gul Basin,15 - 19,Condominiums and Other Apartments,-
Pioneer,Gul Basin,15 - 19,Landed Properties,-
Pioneer,Gul Basin,15 - 19,Others,-
Pioneer,Gul Basin,20 - 24,Total,-
Pioneer,Gul Basin,20 - 24,Total HDB^,-
Pioneer,Gul Basin,20 - 24,1- and 2-Room Flats*,-
Pioneer,Gul Basin,20 - 24,3-Room Flats,-
Pioneer,Gul Basin,20 - 24,4-Room Flats,-
Pioneer,Gul Basin,20 - 24,5-Room and Executive Flats,-
Pioneer,Gul Basin,20 - 24,Condominiums and Other Apartments,-
Pioneer,Gul Basin,20 - 24,Landed Properties,-
Pioneer,Gul Basin,20 - 24,Others,-
Pioneer,Gul Basin,25 - 29,Total,-
Pioneer,Gul Basin,25 - 29,Total HDB^,-
Pioneer,Gul Basin,25 - 29,1- and 2-Room Flats*,-
Pioneer,Gul Basin,25 - 29,3-Room Flats,-
Pioneer,Gul Basin,25 - 29,4-Room Flats,-
Pioneer,Gul Basin,25 - 29,5-Room and Executive Flats,-
Pioneer,Gul Basin,25 - 29,Condominiums and Other Apartments,-
Pioneer,Gul Basin,25 - 29,Landed Properties,-
Pioneer,Gul Basin,25 - 29,Others,-
Pioneer,Gul Basin,30 - 34,Total,-
Pioneer,Gul Basin,30 - 34,Total HDB^,-
Pioneer,Gul Basin,30 - 34,1- and 2-Room Flats*,-
Pioneer,Gul Basin,30 - 34,3-Room Flats,-
Pioneer,Gul Basin,30 - 34,4-Room Flats,-
Pioneer,Gul Basin,30 - 34,5-Room and Executive Flats,-
Pioneer,Gul Basin,30 - 34,Condominiums and Other Apartments,-
Pioneer,Gul Basin,30 - 34,Landed Properties,-
Pioneer,Gul Basin,30 - 34,Others,-
Pioneer,Gul Basin,35 - 39,Total,-
Pioneer,Gul Basin,35 - 39,Total HDB^,-
Pioneer,Gul Basin,35 - 39,1- and 2-Room Flats*,-
Pioneer,Gul Basin,35 - 39,3-Room Flats,-
Pioneer,Gul Basin,35 - 39,4-Room Flats,-
Pioneer,Gul Basin,35 - 39,5-Room and Executive Flats,-
Pioneer,Gul Basin,35 - 39,Condominiums and Other Apartments,-
Pioneer,Gul Basin,35 - 39,Landed Properties,-
Pioneer,Gul Basin,35 - 39,Others,-
Pioneer,Gul Basin,40 - 44,Total,-
Pioneer,Gul Basin,40 - 44,Total HDB^,-
Pioneer,Gul Basin,40 - 44,1- and 2-Room Flats*,-
Pioneer,Gul Basin,40 - 44,3-Room Flats,-
Pioneer,Gul Basin,40 - 44,4-Room Flats,-
Pioneer,Gul Basin,40 - 44,5-Room and Executive Flats,-
Pioneer,Gul Basin,40 - 44,Condominiums and Other Apartments,-
Pioneer,Gul Basin,40 - 44,Landed Properties,-
Pioneer,Gul Basin,40 - 44,Others,-
Pioneer,Gul Basin,45 - 49,Total,-
Pioneer,Gul Basin,45 - 49,Total HDB^,-
Pioneer,Gul Basin,45 - 49,1- and 2-Room Flats*,-
Pioneer,Gul Basin,45 - 49,3-Room Flats,-
Pioneer,Gul Basin,45 - 49,4-Room Flats,-
Pioneer,Gul Basin,45 - 49,5-Room and Executive Flats,-
Pioneer,Gul Basin,45 - 49,Condominiums and Other Apartments,-
Pioneer,Gul Basin,45 - 49,Landed Properties,-
Pioneer,Gul Basin,45 - 49,Others,-
Pioneer,Gul Basin,50 - 54,Total,-
Pioneer,Gul Basin,50 - 54,Total HDB^,-
Pioneer,Gul Basin,50 - 54,1- and 2-Room Flats*,-
Pioneer,Gul Basin,50 - 54,3-Room Flats,-
Pioneer,Gul Basin,50 - 54,4-Room Flats,-
Pioneer,Gul Basin,50 - 54,5-Room and Executive Flats,-
Pioneer,Gul Basin,50 - 54,Condominiums and Other Apartments,-
Pioneer,Gul Basin,50 - 54,Landed Properties,-
Pioneer,Gul Basin,50 - 54,Others,-
Pioneer,Gul Basin,55 - 59,Total,-
Pioneer,Gul Basin,55 - 59,Total HDB^,-
Pioneer,Gul Basin,55 - 59,1- and 2-Room Flats*,-
Pioneer,Gul Basin,55 - 59,3-Room Flats,-
Pioneer,Gul Basin,55 - 59,4-Room Flats,-
Pioneer,Gul Basin,55 - 59,5-Room and Executive Flats,-
Pioneer,Gul Basin,55 - 59,Condominiums and Other Apartments,-
Pioneer,Gul Basin,55 - 59,Landed Properties,-
Pioneer,Gul Basin,55 - 59,Others,-
Pioneer,Gul Basin,60 - 64,Total,-
Pioneer,Gul Basin,60 - 64,Total HDB^,-
Pioneer,Gul Basin,60 - 64,1- and 2-Room Flats*,-
Pioneer,Gul Basin,60 - 64,3-Room Flats,-
Pioneer,Gul Basin,60 - 64,4-Room Flats,-
